IdSiniestro,Longitud,Latitud,IdComuna,TipoVia,NombreVia
20170098,-58.45715752,-34.63132912,7,Via Local,"BONIFACIO, JOSE"
20170099,-58.42406784,-34.56213916,14,Via Principal,"FIGUEROA ALCORTA, PRES. AV."
20170100,-58.39674470,-34.61512051,3,Via Local,REPUBLICA BOLIVARIANA DE VENEZUELA
20170101,-58.44537508,-34.57084818,13,Via Principal,"LACROZE, FEDERICO AV."
20170102,-58.40056767,-34.65107080,4,Via Principal,"IRIARTE, GRAL. AV."
20170104,-58.38109568,-34.61853244,1,Via Principal,9 DE JULIO AV.
20170106,-58.42533612,-34.58035258,14,Via Local,FRAY JUSTO SANTAMARIA DE ORO
20170107,-58.46062311,-34.54395182,13,Via Principal,DEL LIBERTADOR AV.
20170108,-58.49491054,-34.54795581,12,Autopista,"PAZ, GRAL. AV."
20170109,-58.47130269,-34.63665402,7,Via Principal,DIRECTORIO AV.
20170110,-58.37048800,-34.60189492,1,Via Principal,LAVALLE
20170111,-58.42023854,-34.64234110,4,Via Local,USPALLATA
20170112,-58.45807401,-34.63997430,7,Autopista,AUTOPISTA 25 DE MAYO
20170113,-58.37697717,-34.59573848,1,Via Principal,SANTA FE AV.
20170114,-58.39100580,-34.58498660,2,Via Principal,ALVEAR AV.
20170115,-58.42182126,-34.63089661,5,Via Principal,PAVON AV.
20170116,-58.51389422,-34.58075791,12,Autopista,"PAZ, GRAL. AV."
20170118,-58.37585415,-34.65232158,4,Via Principal,VIEYTES
20170120,-58.47297505,-34.66245085,9,Autopista,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.
20170123,-58.46855503,-34.67216349,8,Via Principal,ALBARI?O
20170124,-58.44254033,-34.59185043,15,Via Local,"RAMIREZ DE VELASCO, JUAN"
20170125,-58.46622247,-34.67926929,8,Via Principal,"FERNANDEZ DE LA CRUZ, F., GRAL. AV."
20170126,-58.48003734,-34.68148508,8,Via Principal,RIESTRA AV.
20170127,-58.41192137,-34.59800248,2,Via Principal,GALLO
