IdSiniestro,IdActorVictima,Sexo,TipoVictima,RangoEtario
20170136,1,Masculino,Fallecida,Adulto 50 a 59
20170137,1,Femenino,Fallecida,Adulto Mayor
20170138,4,Masculino,Fallecida,Adulto Joven
20170139,4,Femenino,Fallecida,Adolescente
20170140,3,Masculino,Fallecida,Adulto Joven
20170141,1,Femenino,Fallecida,Adulto Joven
20170143,3,Masculino,Fallecida,Adulto 50 a 59
20170144,4,Femenino,Fallecida,Adulto 50 a 59
20170145,3,Masculino,Fallecida,Adulto 50 a 59
20170147,3,Masculino,Fallecida,Adulto 40 a 49
20170148,1,Femenino,Fallecida,Adulto Mayor
20170149,1,Masculino,Fallecida,Adolescente
20170150,1,Masculino,Fallecida,Adulto 50 a 59
20170151,1,Masculino,Fallecida,
20170152,2,Masculino,Fallecida,Adulto Joven
20170153,4,Masculino,Fallecida,
20170153,3,Masculino,Fallecida,Adulto 30 a 39
20170154,1,Masculino,Fallecida,Adulto Mayor
20170155,,Masculino,Fallecida,Adulto Mayor
20170157,3,Masculino,Fallecida,Adulto 50 a 59
20170158,3,Masculino,Fallecida,Adulto 30 a 39
20170159,3,Masculino,Fallecida,Adulto Joven
20170160,1,Femenino,Fallecida,Adulto 30 a 39
20170161,1,Femenino,Fallecida,Adulto 30 a 39
20180001,1,Masculino,Fallecida,Adulto Mayor
20180002,2,Femenino,Fallecida,Adulto Joven
20180003,1,Femenino,Fallecida,Adulto 50 a 59
20180004,3,Masculino,Fallecida,Adulto 30 a 39
20180005,1,Masculino,Fallecida,Adulto 50 a 59
20180006,2,Femenino,Fallecida,Adulto 40 a 49
20180007,3,Masculino,Fallecida,Adulto 40 a 49
20180008,3,Femenino,Fallecida,Adulto 30 a 39
20180009,3,Masculino,Fallecida,Adulto Joven
20180010,3,Masculino,Fallecida,Adulto 40 a 49
20180011,1,Masculino,Fallecida,Adulto Mayor
20180012,3,Masculino,Fallecida,Adulto Joven
20180013,3,Masculino,Fallecida,Adulto 40 a 49
20180014,1,Masculino,Fallecida,
20180015,3,Masculino,Fallecida,Adulto Joven
20180015,4,Masculino,Fallecida,Adulto Joven
20180016,3,Masculino,Fallecida,Adulto 30 a 39
20180017,1,Masculino,Fallecida,Adulto 30 a 39
20180018,3,Masculino,Fallecida,Adulto Joven
20180019,1,Femenino,Fallecida,Adulto Mayor
20180020,3,Masculino,Fallecida,Adulto Joven
20180021,1,Femenino,Fallecida,Adulto Mayor
20180022,3,Masculino,Fallecida,Adulto Joven
20180023,3,Masculino,Fallecida,Adulto Joven
20180024,1,Masculino,Fallecida,Adulto Mayor
20180025,1,Masculino,Fallecida,Adulto Mayor
20180026,3,Masculino,Fallecida,Adulto Joven
20180026,4,Masculino,Fallecida,Adulto 30 a 39
20180027,1,Femenino,Fallecida,Adulto Mayor
20180028,1,Masculino,Fallecida,Adulto Mayor
20180029,3,Masculino,Fallecida,Adulto Joven
20180030,3,Masculino,Fallecida,Adulto Joven
20180031,3,Masculino,Fallecida,Adulto 30 a 39
20180032,1,Masculino,Fallecida,Adulto Mayor
20180033,3,Femenino,Fallecida,Adulto 40 a 49
20180034,1,Masculino,Fallecida,Adulto Joven
20180035,1,Femenino,Fallecida,Adulto 30 a 39
20180036,3,Masculino,Fallecida,Adulto 30 a 39
20180037,1,Masculino,Fallecida,Adulto Mayor
20180038,1,Femenino,Fallecida,Adulto 50 a 59
20180038,1,Masculino,Fallecida,Adulto Mayor
20180039,1,Masculino,Fallecida,Adulto 30 a 39
20180040,1,Femenino,Fallecida,
20180041,1,Femenino,Fallecida,Adulto Mayor
20180042,4,Masculino,Fallecida,Adulto Joven
20180043,3,Masculino,Fallecida,Adulto Joven
20180044,1,Femenino,Fallecida,Adulto 50 a 59
20180045,3,Masculino,Fallecida,Adulto Mayor
20180046,1,Masculino,Fallecida,Adolescente
20180047,1,Masculino,Fallecida,Adulto Mayor
20180048,1,Masculino,Fallecida,Adulto 50 a 59
20180049,1,Femenino,Fallecida,Adulto 40 a 49
20180050,1,Femenino,Fallecida,Adulto 40 a 49
